Time,Open,High,Low,Close,Volume,mean
05:00 20-08-2017,4155.87,4211.08,4032.62,4106.53,36.019943,4191.461
09:00 20-08-2017,4106.53,4125.43,4063.35,4125.0,29.113266,4180.211499999999
13:00 20-08-2017,4125.0,4185.94,4091.59,4164.6,169.995517,4167.0765
17:00 20-08-2017,4161.59,4171.62,4069.13,4086.29,196.739103,4153.773999999999
21:00 20-08-2017,4069.13,4119.62,4039.0,4084.76,220.838143,4141.7505
01:00 21-08-2017,4079.26,4104.68,3953.4,4043.63,222.575129,4129.678
05:00 21-08-2017,4043.63,4088.12,4000.01,4023.11,78.878314,4116.214
09:00 21-08-2017,4023.11,4023.11,3911.79,4022.0,43.762796,4102.3015
13:00 21-08-2017,4005.99,4042.11,3918.8,4027.05,24.46693,4086.6385
17:00 21-08-2017,4027.05,4070.49,3950.0,4016.0,101.221748,4075.594
21:00 21-08-2017,4016.0,4016.0,3688.97,3862.39,114.685346,4061.8995000000004
01:00 22-08-2017,3863.0,3868.57,3400.0,3798.08,167.221519,4046.3849999999998
05:00 22-08-2017,3798.08,3920.31,3750.08,3866.48,221.731236,4032.7815
09:00 22-08-2017,3866.48,3990.12,3786.81,3858.23,179.358421,4024.0195
13:00 22-08-2017,3858.23,4104.82,3853.47,3984.24,159.535655,4025.3514999999998
17:00 22-08-2017,3984.5,4061.54,3944.03,4040.0,124.152681,4028.749
21:00 22-08-2017,4040.0,4127.99,4013.89,4100.41,159.658384,4029.9635000000003
01:00 23-08-2017,4084.54,4115.87,4035.32,4074.88,141.839603,4026.7084999999997
05:00 23-08-2017,4081.63,4242.32,4057.0,4237.99,135.024022,4033.8769999999995
09:00 23-08-2017,4205.98,4265.8,4150.65,4197.05,237.360569,4035.936
13:00 23-08-2017,4226.94,4259.58,4103.51,4117.07,174.637585,4036.4629999999997
17:00 23-08-2017,4136.48,4178.65,4069.8,4114.01,152.616402,4035.9135
21:00 23-08-2017,4147.0,4204.55,4085.01,4113.58,123.52015,4033.3625
01:00 24-08-2017,4113.58,4177.64,4090.39,4153.32,123.17946,4036.714
05:00 24-08-2017,4153.8,4250.94,4150.0,4202.0,171.486488,4042.576
09:00 24-08-2017,4211.78,4250.9,4136.33,4222.0,146.997342,4051.4945
13:00 24-08-2017,4223.06,4250.77,4178.22,4216.07,111.579358,4061.1425000000004
17:00 24-08-2017,4216.1,4371.68,4193.17,4316.01,110.655955,4075.843
21:00 24-08-2017,4316.01,4370.0,4295.75,4312.69,141.104526,4090.125
01:00 25-08-2017,4312.69,4362.0,4267.5,4329.0,101.509543,4105.775
05:00 25-08-2017,4317.81,4361.28,4298.74,4361.27,74.43306,4130.718999999999
09:00 25-08-2017,4361.27,4422.29,4261.13,4394.36,164.206656,4160.532999999999
13:00 25-08-2017,4394.36,4453.91,4284.11,4307.17,52.39933,4182.5675
17:00 25-08-2017,4326.0,4365.0,4247.48,4280.68,39.959625,4203.6900000000005
21:00 25-08-2017,4280.71,4315.0,4228.99,4297.94,41.638568,4219.375
01:00 26-08-2017,4297.94,4319.7,4252.44,4319.7,28.707288,4233.36
05:00 26-08-2017,4319.7,4319.7,4260.88,4288.72,36.153081,4242.7755
09:00 26-08-2017,4288.72,4306.74,4221.14,4275.0,34.654984,4252.7815
13:00 26-08-2017,4275.0,4351.32,4212.41,4293.52,47.431108,4255.558
17:00 26-08-2017,4293.52,4367.0,4279.0,4337.44,39.523039,4262.577499999999
21:00 26-08-2017,4332.51,4400.0,4314.91,4314.91,62.980388,4272.4695
01:00 27-08-2017,4329.19,4370.85,4293.42,4313.84,47.478199,4282.461
05:00 27-08-2017,4331.29,4352.34,4285.56,4323.37,57.138682,4292.950500000001
09:00 27-08-2017,4340.0,4340.0,4285.54,4325.0,35.277424,4301.5345
13:00 27-08-2017,4290.01,4386.78,4290.01,4368.41,72.11126,4309.8550000000005
17:00 27-08-2017,4336.12,4386.79,4309.6,4310.01,75.706632,4314.2555
21:00 27-08-2017,4310.01,4330.36,4239.36,4239.37,73.295355,4315.4205
01:00 28-08-2017,4239.36,4297.11,4124.54,4261.9,94.397198,4312.715
05:00 28-08-2017,4261.9,4365.4,4226.93,4308.0,121.722034,4312.4805
09:00 28-08-2017,4309.0,4347.0,4271.03,4273.59,121.858551,4309.71
13:00 28-08-2017,4317.2,4370.45,4273.59,4321.65,107.225677,4307.729
17:00 28-08-2017,4321.65,4399.82,4290.18,4386.69,85.342801,4307.3455
21:00 28-08-2017,4353.65,4386.69,4314.35,4376.99,78.862074,4310.836499999999
01:00 29-08-2017,4363.48,4404.07,4313.55,4329.02,128.456959,4313.2535
05:00 29-08-2017,4328.12,4417.61,4328.12,4368.5,88.051429,4316.781499999999
09:00 29-08-2017,4368.5,4625.85,4347.59,4570.0,128.764571,4329.2964999999995
13:00 29-08-2017,4569.65,4584.0,4496.95,4555.55,127.21423,4342.638
17:00 29-08-2017,4540.0,4624.99,4535.09,4587.48,52.195765,4358.262
21:00 29-08-2017,4564.52,4619.99,4527.45,4583.61,119.42503,4372.7665
01:00 30-08-2017,4600.0,4647.51,4550.01,4550.02,149.551451,4383.3955
05:00 30-08-2017,4550.0,4597.0,4416.01,4498.35,176.151828,4392.5675
09:00 30-08-2017,4537.0,4592.76,4416.16,4546.77,163.013481,4404.214000000001
13:00 30-08-2017,4555.0,4609.92,4532.8,4536.82,84.845278,4414.8865
17:00 30-08-2017,4536.82,4579.91,4516.87,4555.14,115.481703,4426.3935
21:00 30-08-2017,4555.14,4606.0,4555.14,4593.66,109.650881,4437.656
01:00 31-08-2017,4596.54,4628.12,4572.64,4592.16,102.998925,4451.7635
05:00 31-08-2017,4603.58,4678.57,4572.64,4656.67,111.874811,4472.628500000001
09:00 31-08-2017,4674.97,4685.55,4631.41,4648.82,106.997195,4491.974499999999
13:00 31-08-2017,4648.82,4745.42,4638.98,4698.77,66.803163,4511.513
17:00 31-08-2017,4688.47,4724.89,4666.84,4724.89,58.631827,4534.0779999999995
21:00 31-08-2017,4689.89,4767.0,4689.89,4714.73,75.647978,4553.732
01:00 01-09-2017,4714.73,4734.99,4654.88,4707.5,101.226134,4569.7725
05:00 01-09-2017,4715.0,4798.46,4708.09,4775.0,130.966655,4589.673
09:00 01-09-2017,4775.0,4839.92,4725.81,4803.83,68.887712,4613.413500000001
